id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
merda,9,1,9,0,2.6666666666666665,1.07,
a174f499c15ebd280855f2d8edf7703a65943f6cc4a18e200d28652d82b41314,20,15,2057,1,4.701993193971804,2.41,2.75
b2ea7a7fffb65cd00927ff175dbe0820e9ccc6f6dec49d5f900d9f289d8380e6,16,12,369,1,3.794037940379404,1.78,1.5
3e653fd5c15993d490faffd50e442d4e78ae1166524f8c8c22a0edb2c61af1c2,36,76,27381,18,4.1455753989993065,3.92,3.9
f1964b2d4744175b04c5005cefc2c4662c7b801211124b881756a1e8a84c8cf4,20,29,431,5,3.823665893271462,3.98,4.25
82345d3e2e792ef977f3b961f90d4e732a275c218f82d71e203fafa6da932a7a,16,22,390,7,3.753846153846154,3.12,3.4
2swap,16,17,1365,9,3.1677655677655676,2.43,
5414cf3bb6eb6ef233b850b5227666dc57e6e337e06d5b4d21f1055954db7eb8,16,3,12,0,2.8333333333333335,1.07,1.0
2608f1dc3a5191430218820279543b7f0e678c5fd01f133df3983eb14b8d079d,30,62,35307,4,4.329339790976293,3.66,4.0
9634595ae04f8f70276c5558bcbe18680702ee2a41582ee3a5b42ab55f04dabc,16,7,1575,6,4.6374603174603175,1.49,1.5
5da098967c3e903fc87402a450199b5174dcc1a71a2370181ebe018f52a0e4fe,20,116,25955,71,3.232363706414949,4.16,4.0
94eb6007ed79b3d8f74b0a282347dcada36877a35dab03e5ba0aa091c19d01a3,16,8,546,3,4.131868131868132,1.33,1.33
8cbabdfab617a61a59550c599a17d95a84ab6ad5d797004326118cfe9fc34ac5,25,44,5148,1,5.966977466977467,3.94,4.33
510ab7b0dbb78922d3a6c8c399f24f0eb8e335a561433f778fa8a1f55da894d4,20,17,10464,8,6.297782874617737,2.45,2.4
3cdca299415077b968d6a86bcc51b413eebaaa2b16d9c1475d24d82cb90d31fb,20,18,39204,8,5.052596673808795,2.48,2.4
ebc25520629f258134d0b19d37dec6d8f1416071ec656ba883cd73b61fa65518,16,31,161,12,3.0559006211180124,4.26,4.65
36454aaf1cfcbf71d11f4ab073112a9cb9ce6427f6397f9cf82d660aaaeaaae1,30,96,32928,24,4.800777453838679,3.8,3.75
0093825c855457012919e04e3de946df052e09ccafed5e6f97c87f1f1fe1cc28,20,45,7328,12,3.620087336244542,4.64,4.8
7b411f3362c3297bbc35e9834ba42c57d7930ee2c221795037b48dba853c30c0,20,28,2998,13,4.348232154769846,4.41,4.75
7f1ded3b1b6676273f64c05de9147c3f40fca42f5dc8e8050ad84fd1c9a19980,20,5,232560,1,13.705263157894738,1.31,1.0
1f7ae9a0d1ea2f6e26b252f0128f798a7922eca67cf1065b9c61df98de223997,30,41,1465,6,4.999317406143344,2.45,1.66
a6552eee0c4a931474f7c9c431c24de44f3f19e3fc50364aa449181df08d7249,25,52,569138,22,5.8676138300377065,4.08,4.25
d6e3e8aeb2c8a6dd9e1bd2bf3b470756bdb43378275167d943c72b9731d9a3f2,36,55,900802,16,4.995492905211134,3.96,4.1
9ca84f2141934700d647b0d13c7c688bf6abe9262ce5186f3bc6ebd3adb7cf01,20,18,1694,4,5.0271546635183,2.42,2.6
f15847df05c62d0d2d79e90182f6c020468abc41fefe3e3696902fb4ced9d2d0,16,4,16,0,3.0,1.07,1.0
difficult,9,7,240,5,3.8,1.49,
prova,16,5,50792,4,6.63128051661679,1.34,
lewandowski,20,18,314880,6,4.873094512195122,2.49,
cristiano,20,18,11936,14,3.984584450402145,2.81,
messi,24,18,1241888,4,6.4764552036898655,2.43,
005,16,11,416,1,5.480769230769231,1.48,
004,20,7,12012,1,7.986013986013986,1.54,
003,25,10,51952,1,8.585309516476748,1.55,
002,20,6,504504,3,9.280005708577136,1.38,
001,20,6,63168,1,5.6544452887537995,1.36,
aef43221f54ec58c984d1c2f8a9009adf404f5a89351efd361f3a6936908fc61,25,27,14857,3,4.597159588072962,3.91,
a323f45c91b6c760b25a422d4ace15459aa13b4803acc212d6000ea5cfe5bafa,30,47,91901,8,4.996115385033895,3.47,
